avatar,handle,followers
http://pbs.twimg.com/profile_images/573984336271122432/k8vEBoCW_200x200.jpeg,Marvel,11.6M
http://pbs.twimg.com/profile_images/1282941458471780352/V4V5vjpc_200x200.jpg,urstrulyMahesh,11.5M
http://pbs.twimg.com/profile_images/1399017661372125193/LlI8IuFv_200x200.jpg,weareoneEXO,11.4M
http://pbs.twimg.com/profile_images/1340324673788121093/8ZAm4Oij_200x200.jpg,ABPNews,11.4M
http://pbs.twimg.com/profile_images/1383079031805972485/3sWoMX-R_200x200.jpg,WWE,11.4M
http://pbs.twimg.com/profile_images/1362864450580045826/NCEAWnDR_200x200.jpg,harbhajan_singh,11.2M
http://pbs.twimg.com/profile_images/888341664590331904/zTwHj7D7_200x200.jpg,SimonCowell,11M
http://pbs.twimg.com/profile_images/1374998943126392834/iDLAYwMu_200x200.jpg,rustyrockets,11M
http://pbs.twimg.com/profile_images/1397994684127928324/ypgKjtQL_200x200.jpg,Riteishd,10.9M
http://pbs.twimg.com/profile_images/1380657780865044480/BBxmnji2_200x200.jpg,VP,10.6M
http://pbs.twimg.com/profile_images/1374592512678113280/nj-zDsJs_200x200.jpg,HHShkMohd,10.6M
http://pbs.twimg.com/profile_images/1326823978174910465/lBQbS0ZX_200x200.jpg,Swamy39,10.4M
http://pbs.twimg.com/profile_images/951600999902281728/s-3S8iBE_200x200.jpg,VP,10.4M
http://pbs.twimg.com/profile_images/1054179226100908032/i5ZXfFdE_200x200.jpg,IvankaTrump,10.2M
http://pbs.twimg.com/profile_images/421377161/azizlittletwitter_200x200.jpg,azizansari,10.2M
http://pbs.twimg.com/profile_images/1242114357682515971/x6zWYqzZ_200x200.jpg,PiyushGoyal,10.1M
http://pbs.twimg.com/profile_images/1395000133020966914/CQU2TYwU_200x200.jpg,joejonas,10.1M
http://pbs.twimg.com/profile_images/1096066608034918401/m8wnTWsX_200x200.png,TechCrunch,10.1M
http://pbs.twimg.com/profile_images/1045701464008445952/ISpC7Eqm_200x200.jpg,JoelOsteen,10.1M
http://pbs.twimg.com/profile_images/1403359710980546563/f8pKMXlh_200x200.jpg,GalatasaraySK,10M
http://pbs.twimg.com/profile_images/1354074536925388802/qkHhpnVw_200x200.jpg,TimesNow,10M
http://pbs.twimg.com/profile_images/1339132670169804801/SeYDEWVq_200x200.jpg,ManCity,10M
http://pbs.twimg.com/profile_images/1400702922296500226/vMNJnlxa_200x200.jpg,Lakers,9.9M
http://pbs.twimg.com/profile_images/1310656963223584768/hr40_0pb_200x200.png,AppleMusic,9.9M
http://pbs.twimg.com/profile_images/1270317975979999234/yYa_bTz0_200x200.jpg,SidMalhotra,9.8M
http://pbs.twimg.com/profile_images/1175141826870861825/K2qKoGla_200x200.png,guardian,9.7M
http://pbs.twimg.com/profile_images/925281250792824832/dfj3nYUe_200x200.jpg,SMTOWNGLOBAL,9.5M
http://pbs.twimg.com/profile_images/566067459875024896/8iwycwrc_200x200.jpeg,Caradelevingne,9.5M
http://pbs.twimg.com/profile_images/875476478988886016/_l61qZdR_200x200.jpg,WHO,9.4M
http://pbs.twimg.com/profile_images/817042499134980096/LTpqSDMM_200x200.jpg,lemondefr,9.2M
http://pbs.twimg.com/profile_images/1284197940551196672/0Hd4EQmT_200x200.jpg,realmadridarab,9.2M
http://pbs.twimg.com/profile_images/3127745865/dd05f22753691b28ce2a8884ccf9e6cf_200x200.jpeg,KingSalman,9.1M
http://pbs.twimg.com/profile_images/1398017185424056328/1wlSGR_B_200x200.jpg,Discovery,9M
http://pbs.twimg.com/profile_images/1403591493751914500/qD-iaohQ_200x200.jpg,MLB,9M
http://pbs.twimg.com/profile_images/1226890596280885248/qdLQ8M7i_200x200.png,NewYorker,9M
http://pbs.twimg.com/profile_images/1318858946216603649/mbGIkArd_200x200.jpg,Guaje7Villa,9M
http://pbs.twimg.com/profile_images/1219965365226065920/EBF8Rd9v_200x200.jpg,DjokerNole,8.7M
http://pbs.twimg.com/profile_images/808330362417979392/AdiQ86lk_200x200.jpg,UNICEF,8.7M
http://pbs.twimg.com/profile_images/1388133739646029824/E7NVUuPp_200x200.jpg,DavidLuiz_4,8.7M
http://pbs.twimg.com/profile_images/953320896101412864/UdE5mfkP_200x200.jpg,Nike,8.5M
http://pbs.twimg.com/profile_images/1360916743779016705/41HDeRcd_200x200.jpg,NSaina,8.5M
http://pbs.twimg.com/profile_images/1399217176343547904/rFLGp2F7_200x200.jpg,bhogleharsha,8.5M
http://pbs.twimg.com/profile_images/1422637130/mccigartrophy_200x200.jpg,mcuban,8.5M
http://pbs.twimg.com/profile_images/1399764861022728193/WNobJuMG_200x200.png,Twitch,8.4M
http://pbs.twimg.com/profile_images/1294483996726960129/da5BTlf-_200x200.jpg,EASPORTSFIFA,8.4M
http://pbs.twimg.com/profile_images/1400481357659246592/BjnobOAH_200x200.jpg,Ubisoft,8.4M
http://pbs.twimg.com/profile_images/1051789365205196800/Sr3MjjXc_200x200.jpg,Dior,8.4M
http://pbs.twimg.com/profile_images/1006162739004366848/TtG0BRfT_200x200.jpg,EuropaLeague,8.3M
http://pbs.twimg.com/profile_images/1394881114322259970/SzioqzFn_200x200.jpg,INCIndia,8.2M
